"gene_id","baseMean","log2FoldChange","pvalue","padj","direccion","interpretacion_biologica","fuente_sugerida"
"FTO",48.0098162652977,-3.01292267985627,2.06005944540376e-10,7.6222199479939e-09,"Mayor en Obeso2","","GeneCards/PubMed/OMIM/Reactome/KEGG"
"MC4R",43.4478774256184,-3.13581061437534,1.37731395694404e-09,2.54803082034647e-08,"Mayor en Obeso2","","GeneCards/PubMed/OMIM/Reactome/KEGG"
"LEPR",36.7580204288713,3.15336364714199,1.57960438601391e-08,1.94817874275048e-07,"Mayor en Obeso1","","GeneCards/PubMed/OMIM/Reactome/KEGG"
"UBR2",87.3010150347127,-1.79369398449183,6.52888289398607e-06,6.03921667693711e-05,"Mayor en Obeso2","","GeneCards/PubMed/OMIM/Reactome/KEGG"
"SIM1",40.2872718119288,-1.53872729345841,0.00040586363262954,0.0030033908814586,"Mayor en Obeso2","","GeneCards/PubMed/OMIM/Reactome/KEGG"
